time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
456.6445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.6556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.6667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.6778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.6889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7444,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.7889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.8889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
456.9889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0334,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.0889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.1889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2444,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.2889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.3889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.4889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5334,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.5889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6445,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6556,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6667,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6778,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.6889,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7111,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7222,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7333,0.1575,0.79,0.055,0.0004,0.0004,0.0004
457.7444,0.1575,0.79,0.055,0.0004,0.0004,0.0004
