time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
439.8556,-0.1741,0.7909,-0.1786,3.8985,3.8985,3.8985
439.8667,-0.174,0.7909999999999999,-0.1803,2.6767,2.6767,2.6767
439.8778,-0.1735,0.7905,-0.182,1.247,1.247,1.247
439.8889,-0.17300000000000001,0.7901,-0.1831,0.0163,0.0163,0.0163
439.9,-0.1725,0.7903,-0.1837,359.3038,359.3038,359.3038
439.9111,-0.1723,0.7904,-0.184,358.9337,358.9337,358.9337
439.9222,-0.1723,0.7905,-0.1841,358.8657,358.8657,358.8657
439.9333,-0.1724,0.7904,-0.1839,359.0906,359.0906,359.0906
439.9445,-0.1726,0.7902,-0.1835,359.5343,359.5343,359.5343
439.9556,-0.1729,0.79,-0.1831,359.95599999999996,359.95599999999996,359.95599999999996
439.9667,-0.17300000000000001,0.7901,-0.1829,0.1967,0.1967,0.1967
439.9778,-0.1731,0.7901,-0.1829,0.257,0.257,0.257
439.9889,-0.17300000000000001,0.7901,-0.183,0.1876,0.1876,0.1876
440.0,-0.1729,0.79,-0.183,0.0719,0.0719,0.0719
440.0111,-0.1729,0.79,-0.1831,359.9815,359.9815,359.9815
440.0222,-0.1729,0.79,-0.1831,359.9523,359.9523,359.9523
440.0334,-0.1729,0.79,-0.1831,359.9622,359.9622,359.9622
440.0445,-0.1729,0.79,-0.1831,359.9836,359.9836,359.9836
440.0556,-0.1729,0.79,-0.1831,0.0002,0.0002,0.0002
440.0667,-0.1729,0.79,-0.1831,0.0073,0.0073,0.0073
440.0778,-0.1729,0.79,-0.1831,0.0072,0.0072,0.0072
440.0889,-0.1729,0.79,-0.1831,0.0041,0.0041,0.0041
440.1,-0.1729,0.79,-0.1831,0.0012,0.0012,0.0012
440.1111,-0.1729,0.79,-0.1831,-0.0004,-0.0004,-0.0004
440.1222,-0.1729,0.79,-0.1831,-0.0007,-0.0007,-0.0007
440.1333,-0.1729,0.79,-0.1831,-0.0003,-0.0003,-0.0003
440.1445,-0.1729,0.79,-0.1831,0.0002,0.0002,0.0002
440.1556,-0.1729,0.79,-0.1831,0.0006,0.0006,0.0006
440.1667,-0.1729,0.79,-0.1831,0.0006,0.0006,0.0006
440.1778,-0.1729,0.79,-0.1831,0.0006,0.0006,0.0006
440.1889,-0.1729,0.79,-0.1831,0.0005,0.0005,0.0005
440.2,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2333,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2444,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.2889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3333,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3445,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.3889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4333,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4445,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4667,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4778,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.4889,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.5,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.5111,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.5222,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.5334,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.5445,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
440.5556,-0.1729,0.79,-0.1831,0.0004,0.0004,0.0004
