time,FailOnTouchObstacleMed_pos_x,FailOnTouchObstacleMed_pos_y,FailOnTouchObstacleMed_pos_z,FailOnTouchObstacleMed_rot_x,FailOnTouchObstacleMed_rot_y,FailOnTouchObstacleMed_rot_z
630.3889,-0.2275,0.79,-0.105,0,0,0
630.4,-0.2275,0.79,-0.105,0,0,0
630.4111,-0.2275,0.79,-0.105,0,0,0
630.4222,-0.2275,0.79,-0.105,0,0,0
630.4333,-0.2275,0.79,-0.105,0,0,0
630.4445,-0.2275,0.79,-0.105,0,0,0
630.4556,-0.2275,0.79,-0.105,0,0,0
630.4667,-0.2275,0.79,-0.105,0,0,0
630.4778,-0.2275,0.79,-0.105,0,0,0
630.4889,-0.2275,0.79,-0.105,0,0,0
630.5,-0.2275,0.79,-0.105,0,0,0
630.5111,-0.2275,0.79,-0.105,0,0,0
630.5222,-0.2275,0.79,-0.105,0,0,0
630.5333,-0.2275,0.79,-0.105,0,0,0
630.5444,-0.2275,0.79,-0.105,0,0,0
630.5555,-0.2275,0.79,-0.105,0,0,0
630.5667,-0.2275,0.79,-0.105,0,0,0
630.5778,-0.2275,0.79,-0.105,0,0,0
630.5889,-0.2275,0.79,-0.105,0,0,0
630.6,-0.2275,0.79,-0.105,0,0,0
630.6111,-0.2275,0.79,-0.105,0,0,0
630.6223,-0.2275,0.79,-0.105,0,0,0
630.6334,-0.2275,0.79,-0.105,0,0,0
630.6445,-0.2275,0.79,-0.105,0,0,0
630.6556,-0.2275,0.79,-0.105,0,0,0
630.6667,-0.2275,0.79,-0.105,0,0,0
630.6778,-0.2275,0.79,-0.105,0,0,0
630.6889,-0.2275,0.79,-0.105,0,0,0
630.7,-0.2275,0.79,-0.105,0,0,0
630.7111,-0.2275,0.79,-0.105,0,0,0
630.7222,-0.2275,0.79,-0.105,0,0,0
630.7333,-0.2275,0.79,-0.105,0,0,0
630.7444,-0.2275,0.79,-0.105,0,0,0
630.7556,-0.2275,0.79,-0.105,0,0,0
630.7667,-0.2275,0.79,-0.105,0,0,0
630.7778,-0.2275,0.79,-0.105,0,0,0
