time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
216.5889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.6889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.7889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8445,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.8889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9444,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9556,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9667,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9778,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
216.9889,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0111,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0222,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
217.0333,0.0225,0.79,0.055,-0.0022,-0.0022,-0.0022
