time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
992.0,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0111,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0222,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0334,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0445,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.0889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1111,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1223,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1334,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1445,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.1889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2111,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2222,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2333,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2444,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.2889,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3112,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3223,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3334,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3445,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3556,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3667,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3778,0.0225,0.79,0.055,0.0004,0.0004,0.0004
992.3889,0.0228,0.7913,0.0535,358.0344,358.0344,358.0344
992.4,0.0216,0.7914,0.0519,356.7495,356.7495,356.7495
992.4111,0.0198,0.7912,0.0511,357.3623,357.3623,357.3623
992.4222,0.016,0.7914,0.0501,357.2613,357.2613,357.2613
992.4333,0.0122,0.7915,0.0489,356.9738,356.9738,356.9738
992.4445,0.0069,0.7928,0.0469,356.619,356.619,356.619
992.4556,0.0032,0.7933,0.0469,356.0241,356.0241,356.0241
992.4667,-0.0009,0.7945,0.0456,355.2999,355.2999,355.2999
992.4778,-0.0049,0.7957,0.0449,354.37,354.37,354.37
992.4889,-0.0089,0.7968,0.0443,353.9213,353.9213,353.9213
992.5,-0.0127,0.7975,0.0432,354.0641,354.0641,354.0641
992.5111,-0.0164,0.7977,0.0421,353.9951,353.9951,353.9951
992.5222,-0.0191,0.7979,0.0412,354.1617,354.1617,354.1617
992.5334,-0.0217,0.7979,0.04,354.1323,354.1323,354.1323
992.5445,-0.0249,0.7978,0.0389,353.663,353.663,353.663
992.5556,-0.0272,0.7977,0.0379,353.0265,353.0265,353.0265
992.5667,-0.0295,0.7975,0.0369,352.2054,352.2054,352.2054
992.5778,-0.0321,0.7973,0.0363,351.285,351.285,351.285
992.5889,-0.0349,0.7972,0.0359,350.61199999999997,350.61199999999997,350.61199999999997
992.6,-0.0386,0.7971,0.0356,350.3486,350.3486,350.3486
992.6111,-0.0426,0.7969,0.0351,350.3021,350.3021,350.3021
992.6223,-0.0471,0.7965,0.0344,350.14300000000003,350.14300000000003,350.14300000000003
992.6334,-0.0516,0.7962,0.0335,349.6378,349.6378,349.6378
992.6445,-0.0561,0.7959999999999999,0.0328,348.7834,348.7834,348.7834
992.6556,-0.0611,0.7957,0.0321,347.9731,347.9731,347.9731
992.6667,-0.0664,0.7956,0.0312,347.736,347.736,347.736
992.6778,-0.0717,0.7956,0.0301,347.8951,347.8951,347.8951
992.6889,-0.0771,0.7956,0.0288,348.2166,348.2166,348.2166
992.7,-0.0822,0.7957,0.0277,348.4965,348.4965,348.4965
992.7111,-0.0861,0.7962,0.0264,349.4046,349.4046,349.4046
992.7222,-0.08900000000000001,0.7965,0.0253,349.5148,349.5148,349.5148
992.7333,-0.0916,0.7967,0.0245,349.1964,349.1964,349.1964
992.7444,-0.0942,0.7966,0.025,348.33,348.33,348.33
992.7556,-0.0971,0.7965,0.0261,347.7595,347.7595,347.7595
992.7667,-0.1003,0.7964,0.0275,347.4066,347.4066,347.4066
