time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
794.1,0.0575,0.79,0.055,0.0,0.0,0.0
794.1111,0.0575,0.79,0.055,0.0,0.0,0.0
794.1223,0.0575,0.79,0.055,0.0,0.0,0.0
794.1334,0.0575,0.79,0.055,0.0,0.0,0.0
794.1445,0.0575,0.79,0.055,0.0,0.0,0.0
794.1556,0.0575,0.79,0.055,0.0,0.0,0.0
794.1667,0.0575,0.79,0.055,0.0,0.0,0.0
794.1778,0.0575,0.79,0.055,0.0,0.0,0.0
794.1889,0.0575,0.79,0.055,0.0,0.0,0.0
794.2,0.0575,0.79,0.055,0.0,0.0,0.0
794.2111,0.0575,0.79,0.055,0.0,0.0,0.0
794.2222,0.0575,0.79,0.055,0.0,0.0,0.0
794.2333,0.0575,0.79,0.055,0.0,0.0,0.0
794.2444,0.0575,0.79,0.055,0.0,0.0,0.0
794.2556,0.0575,0.79,0.055,0.0,0.0,0.0
794.2667,0.0575,0.79,0.055,0.0,0.0,0.0
794.2778,0.0575,0.79,0.055,0.0,0.0,0.0
794.2889,0.0575,0.79,0.055,0.0,0.0,0.0
794.3,0.0575,0.79,0.055,0.0,0.0,0.0
794.3112,0.0575,0.79,0.055,0.0,0.0,0.0
794.3223,0.0575,0.79,0.055,0.0,0.0,0.0
794.3334,0.0575,0.79,0.055,0.0,0.0,0.0
794.3445,0.0575,0.79,0.055,0.0,0.0,0.0
794.3556,0.0575,0.79,0.055,0.0,0.0,0.0
794.3667,0.0575,0.79,0.055,0.0,0.0,0.0
794.3778,0.0575,0.79,0.055,0.0,0.0,0.0
794.3889,0.0575,0.79,0.055,0.0,0.0,0.0
794.4,0.0575,0.79,0.055,0.0,0.0,0.0
794.4111,0.0575,0.79,0.055,0.0,0.0,0.0
794.4222,0.0575,0.79,0.055,0.0,0.0,0.0
794.4333,0.0582,0.7909999999999999,0.054000000000000006,358.5615,358.5615,358.5615
794.4445,0.0559,0.7918,0.0523,358.2958,358.2958,358.2958
794.4556,0.0537,0.792,0.0506,358.0502,358.0502,358.0502
794.4667,0.0511,0.7926,0.0485,357.727,357.727,357.727
794.4778,0.0487,0.7928,0.0468,357.3747,357.3747,357.3747
794.4889,0.0455,0.7936,0.0443,357.0688,357.0688,357.0688
794.5,0.0424,0.7941,0.0419,356.8068,356.8068,356.8068
794.5111,0.0395,0.7943,0.0394,356.49800000000005,356.49800000000005,356.49800000000005
794.5222,0.0365,0.7948,0.0367,356.1351,356.1351,356.1351
794.5333,0.0332,0.7953,0.0334,355.8292,355.8292,355.8292
794.5444,0.0297,0.7957,0.0301,355.6053,355.6053,355.6053
794.5556,0.0263,0.7961,0.0265,355.5049,355.5049,355.5049
794.5667,0.0227,0.7964,0.023,355.3341,355.3341,355.3341
794.5778,0.0191,0.7967,0.0195,355.1296,355.1296,355.1296
794.5889,0.0158,0.797,0.0164,355.1385,355.1385,355.1385
794.6,0.0127,0.7972,0.0132,355.1666,355.1666,355.1666
794.6111,0.0119,0.7975,0.013000000000000001,353.7701,353.7701,353.7701
794.6223,0.0066,0.7977,0.0062,354.5548,354.5548,354.5548
794.6334,0.0037,0.7978,0.0023,354.5143,354.5143,354.5143
794.6445,0.0014,0.7978,-0.0016,354.3725,354.3725,354.3725
794.6556,-0.0012,0.7978,-0.0059,354.3399,354.3399,354.3399
794.6667,-0.0043,0.7978,-0.0105,354.4374,354.4374,354.4374
794.6778,-0.0072,0.7979999999999999,-0.0147,354.6879,354.6879,354.6879
794.6889,-0.0097,0.7979999999999999,-0.0195,355.5759,355.5759,355.5759
794.7,-0.012,0.7978,-0.0241,356.8495,356.8495,356.8495
794.7111,-0.0132,0.7978,-0.0257,353.6692,353.6692,353.6692
794.7222,-0.0151,0.7979,-0.0292,354.4921,354.4921,354.4921
