time,FailOnTouchObstacleShort_pos_x,FailOnTouchObstacleShort_pos_y,FailOnTouchObstacleShort_pos_z,FailOnTouchObstacleShort_rot_x,FailOnTouchObstacleShort_rot_y,FailOnTouchObstacleShort_rot_z
429.6778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.6889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7444,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.7889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8445,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8556,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8667,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8778,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.8889,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.9,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.9111,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.9222,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.9333,-0.0375,0.79,-0.105,-0.0022,-0.0022,-0.0022
429.9445,-0.0378,0.7911,-0.1053,359.1117,359.1117,359.1117
429.9556,-0.0378,0.7912,-0.1054,359.1975,359.1975,359.1975
429.9667,-0.0377,0.7911,-0.1055,359.3129,359.3129,359.3129
429.9778,-0.0377,0.7911,-0.1056,359.1827,359.1827,359.1827
429.9889,-0.0377,0.7909,-0.1056,359.4082,359.4082,359.4082
430.0,-0.0375,0.7909999999999999,-0.1059,359.0972,359.0972,359.0972
430.0111,-0.0374,0.7909999999999999,-0.1061,359.0901,359.0901,359.0901
430.0222,-0.0372,0.7909999999999999,-0.1061,359.1774,359.1774,359.1774
430.0334,-0.0368,0.7909,-0.1061,359.1589,359.1589,359.1589
430.0445,-0.0368,0.7908,-0.1062,359.2021,359.2021,359.2021
430.0556,-0.0366,0.7908,-0.1064,359.1688,359.1688,359.1688
430.0667,-0.0363,0.7909,-0.1066,359.176,359.176,359.176
430.0778,-0.0358,0.7909999999999999,-0.1069,359.1515,359.1515,359.1515
430.0889,-0.0353,0.7909999999999999,-0.1072,359.0207,359.0207,359.0207
430.1,-0.035,0.7912,-0.1076,358.9122,358.9122,358.9122
430.1111,-0.0346,0.7915,-0.1082,358.6663,358.6663,358.6663
430.1222,-0.0341,0.7917,-0.1089,358.5144,358.5144,358.5144
430.1333,-0.0338,0.7918,-0.1097,358.3043,358.3043,358.3043
430.1444,-0.0334,0.792,-0.1105,358.1365,358.1365,358.1365
430.1556,-0.0331,0.792,-0.1114,358.1283,358.1283,358.1283
430.1667,-0.0328,0.7921,-0.1125,357.8699,357.8699,357.8699
430.1778,-0.0326,0.7921,-0.1138,357.8247,357.8247,357.8247
430.1889,-0.0323,0.7921,-0.115,357.8139,357.8139,357.8139
430.2,-0.032,0.7922,-0.1163,357.7414,357.7414,357.7414
430.2111,-0.0319,0.7921,-0.1177,357.6754,357.6754,357.6754
430.2222,-0.0318,0.7922,-0.1193,357.4502,357.4502,357.4502
430.2333,-0.0317,0.7922,-0.121,357.3868,357.3868,357.3868
430.2444,-0.0315,0.7923,-0.1229,357.2458,357.2458,357.2458
430.2556,-0.0313,0.7923,-0.125,357.1785,357.1785,357.1785
430.2667,-0.0313,0.7922,-0.1271,357.2042,357.2042,357.2042
430.2778,-0.0316,0.7921,-0.1294,357.156,357.156,357.156
430.2889,-0.0319,0.792,-0.1319,356.9697,356.9697,356.9697
430.3,-0.0323,0.7919,-0.1347,356.7162,356.7162,356.7162
430.3111,-0.0325,0.7915,-0.1378,356.7834,356.7834,356.7834
430.3222,-0.0328,0.7914,-0.1405,356.9232,356.9232,356.9232
430.3333,-0.0332,0.7914,-0.1434,356.8593,356.8593,356.8593
430.3445,-0.0337,0.7915,-0.1464,356.8316,356.8316,356.8316
430.3556,-0.0343,0.7914,-0.1494,356.9831,356.9831,356.9831
430.3667,-0.0349,0.7915,-0.1524,357.0397,357.0397,357.0397
430.3778,-0.0356,0.7913,-0.1555,357.0954,357.0954,357.0954
430.3889,-0.0365,0.7909,-0.1587,357.1854,357.1854,357.1854
430.4,-0.0375,0.7905,-0.1619,357.3472,357.3472,357.3472
430.4111,-0.0383,0.7904,-0.165,357.37,357.37,357.37
430.4222,-0.0393,0.7904,-0.1682,357.5169,357.5169,357.5169
430.4333,-0.0402,0.7905,-0.1715,357.5771,357.5771,357.5771
430.4445,-0.0414,0.7905,-0.1748,357.839,357.839,357.839
430.4556,-0.0426,0.7905,-0.1782,358.1376,358.1376,358.1376
430.4667,-0.044000000000000004,0.7906,-0.1816,358.4965,358.4965,358.4965
430.4778,-0.0455,0.7906,-0.1848,358.8957,358.8957,358.8957
430.4889,-0.0471,0.7906,-0.188,359.1214,359.1214,359.1214
430.5,-0.0488,0.7906,-0.1909,359.3966,359.3966,359.3966
430.5111,-0.0504,0.7906,-0.1936,359.6602,359.6602,359.6602
430.5222,-0.0522,0.7906,-0.1962,359.8018,359.8018,359.8018
430.5334,-0.0541,0.7906,-0.1987,0.011000000000000001,0.011000000000000001,0.011000000000000001
430.5445,-0.0561,0.7906,-0.2011,0.1116,0.1116,0.1116
430.5556,-0.0582,0.7906,-0.2034,0.2951,0.2951,0.2951
430.5667,-0.0606,0.7912,-0.2071,359.5729,359.5729,359.5729
430.5778,-0.0627,0.7906,-0.2093,0.6347,0.6347,0.6347
430.5889,-0.065,0.7909,-0.2118,0.6052,0.6052,0.6052
430.6,-0.0672,0.7906,-0.2137,1.1946,1.1946,1.1946
430.6111,-0.0696,0.7907,-0.2154,1.4251,1.4251,1.4251
430.6222,-0.0722,0.7906,-0.2167,1.7458,1.7458,1.7458
430.6333,-0.0748,0.7907,-0.2179,1.8303,1.8303,1.8303
